1,Quokka Fur Brush,grooming,product_images/quokka2.png,A comb or something,2018-10-01 13:12:58,2018-10-01 13:12:58,1
2,Life-sized quokka cut out,entertainment,product_images/quokka1.jpeg,a smiling paper quokka,2018-10-01 13:12:58,2018-10-01 13:12:58,4
3,A portrait of a chivalrous quokka,art,product_images/quokka2.png,This dashing quokka is dressed as a knight,2018-10-01 13:12:58,2018-10-01 13:12:58,3
4,Grass bundle,food,product_images/quokka1.jpeg,A bundle of grass,2018-10-01 13:12:58,2018-10-01 13:12:58,5
5,Stick bundle,tool,product_images/quokka1.jpeg,a bundle of sticks,2018-10-01 13:12:58,2018-10-01 13:12:58,6
6,Quokka onesie,clothing,product_images/quokka1.jpeg,a pajama suit for quokkas,2018-10-01 13:12:58,2018-10-01 13:12:58,7
7,Bedtime stories about quokkas,Books,product_images/quokka1.jpeg,A children's book,2018-10-01 13:12:58,2018-10-01 13:12:58,8
8,Quokkaleon painting, art,product_images/quokka2.png,""" Famous painting """"Napoleon Crossing"""" but Napoleon is a quokka""",2018-10-01 13:12:58,2018-10-01 13:12:58,3
9,Quokkassant,pastry,product_images/quokka1.jpeg,a crossaint in the shape of a quokka,2018-10-01 13:12:58,2018-10-01 13:12:58,5
10,Quokka-safe blender, technology,product_images/quokka2.png,A furry blender that resembles a happy quokka intended for quokkas to blend their daily meals,2018-10-01 13:12:58,2018-10-01 13:12:58,9
11,Quokkachino,A cozy hoodie with a quokka's face on the hood,product_images/quokka2.png,A picture of a quokkachino,2018-10-01 13:12:58,2018-10-01 13:12:58,7
12,Quokka Breeze Fan,Stay cool with this fan featuring quokka designs,product_images/quokka2.png,A picture of a quokka breeze fan,2018-10-01 13:12:58,2018-10-01 13:12:58,10
13,Quokkapresso Machine,Brew your espresso in style with this quokka-themed machine,product_images/quokka1.jpeg,A picture of a quokkapresso machine,2018-10-01 13:12:58,2018-10-01 13:12:58,11
14,Quokka Slumber Sleeping Bag,Sleep snug as a quokka in this cozy sleeping bag,product_images/quokka2.png,A picture of a quokka slumber sleeping bag,2018-10-01 13:12:58,2018-10-01 13:12:58,12
15,Quokka Toasty Maker,A sandwich maker that imprints a quokka’s face onto your toasties,product_images/quokka2.png,A picture of a quokka toasty maker,2018-10-01 13:12:58,2018-10-01 13:12:58,11
16,Quokkacino Mug,Sip your favorite beverages with a smile with this quokka-themed mug,product_images/quokka1.jpeg,A picture of a quokkacino mug,2018-10-01 13:12:58,2018-10-01 13:12:58,2
17,Quokka Hug Pillow,A pillow shaped like a quokka for the sweetest dreams,product_images/quokka1.jpeg,A picture of a quokka hug pillow,2018-10-01 13:12:58,2018-10-01 13:12:58,12
18,Quokka Bento Box,"""A lunch box with separate compartments",product_images/quokka2.png,,2018-10-01 13:12:58,2018-10-01 13:12:58,2
19,Quokka Light Lamp,A lamp with a base shaped like a quokka,product_images/quokka2.png,A picture of a quokka light lamp,2018-10-01 13:12:58,2018-10-01 13:12:58,13
20,Quokka Leaf Tea,"""A soothing tea blend",product_images/quokka2.png,,2018-10-01 13:12:58,2018-10-01 13:12:58,5
21,Quokka Brew Coffee Beans,Premium coffee beans with a touch of quokka cheer,product_images/quokka2.png,A picture of a quokka brew coffee beans,2018-10-01 13:12:58,2018-10-01 13:12:58,5
