Product ID,Product Name,Description,Image File,Alternative Text,Creation Date,Update Date
1,Quokka Fur Brush,grooming,,A comb or something,2023-10-01 13:12:58.000000,2023-10-01 13:12:58.000000
2,Life-sized quokka cut out,entertainment,,a smiling paper quokka,2023-10-26 13:12:58.000000,2023-10-26 13:12:58.000000
3,A portrait of a chivalrous quokka,art,,This dashing quokka is dressed as a knight,2023-10-27 13:12:58.000000,2023-10-27 13:12:58.000000
4,Grass bundle,food,,A bundle of grass,2023-10-28 13:59:59.000000,2023-10-28 13:59:59.000000
5,Stick bundle,tool,,a bundle of sticks,2023-10-29 13:59:59.000000,2023-10-29 13:59:59.000000
6,Quokka onesie,clothing,,a pajama suit for quokkas,2023-10-30 13:59:59.000000,2023-10-30 13:59:59.000000
7,The King Quokka's Bible,Books,,The King James Bible for Quokkas,2023-10-31 13:59:59.000000,2023-10-31 13:59:59.000000
8,Quokkaleon painting, art,," Famous painting ""Napoleon Crossing"" but Napoleon is a quokka",2023-10-31 13:59:59.000000,2023-10-31 13:59:59.000000
9,Quokkassant,pastry,,a crossaint in the shape of a quokka,2023-11-01 13:59:58.000000,2023-11-01 13:59:59.000000
10,Quokka-safe blender, technology,,A furry blender that resembles a happy quokka intended for quokkas to blend their daily meals,2023-11-01 13:59:59.000000,2023-11-01 13:59:59.000000
11,Quokka-lates Workout DVD,A delicious croissant shaped like a quokka,,A picture of a quokka-lates workout dvd,2023-11-01 19:31:21.545775,2023-11-02 09:55:09.374132
12,Quokka-doodle Coloring Book,Unleash your creativity with this quokka coloring book,,A picture of a quokka-doodle coloring book,2023-11-01 20:18:36.342124,2023-11-02 01:07:05.709575
13,Quokka-nap Pillow,A delicious croissant shaped like a quokka,,A picture of a quokka-nap pillow,2023-11-01 21:12:57.677800,2023-11-01 21:55:57.894623
14,Quokka-rita Glass,Sip your margaritas from this quokka-inspired glass,,A picture of a quokka-rita glass,2023-11-01 22:43:33.118183,2023-11-02 16:30:42.874268
15,Quokka-lates Workout DVD,Enjoy your coffee with this adorable quokka mug,,A picture of a quokka-lates workout dvd,2023-11-01 23:17:39.696502,2023-11-02 21:14:58.584487
16,Quokka-light Night Lamp,Sip your margaritas from this quokka-inspired glass,,A picture of a quokka-light night lamp,2023-11-01 23:47:45.389456,2023-11-02 09:58:01.509486
17,Quokka-rita Glass,Unleash your creativity with this quokka coloring book,,A picture of a quokka-rita glass,2023-11-02 01:14:42.740940,2023-11-02 17:18:25.928785
18,Quokka-puccino Coffee Blend,A coffee blend with a hint of quokka happiness,,A picture of a quokka-puccino coffee blend,2023-11-02 01:43:41.449176,2023-11-02 09:54:59.223683
19,Quokkaccino Mug,Keep your feet warm with these quokka socks,,A picture of a quokkaccino mug,2023-11-02 01:58:54.895508,2023-11-02 22:46:27.439018
20,Quokka-jump Trampoline,Have fun bouncing on this quokka trampoline,,A picture of a quokka-jump trampoline,2023-11-02 02:04:53.290685,2023-11-02 04:37:22.233193
21,Quokka-lates Workout DVD,Unleash your creativity with this quokka coloring book,,A picture of a quokka-lates workout dvd,2023-11-02 03:58:02.130433,2023-11-02 20:27:17.695684
22,Quokka-rita Glass,Have fun bouncing on this quokka trampoline,,A picture of a quokka-rita glass,2023-11-02 04:05:12.562640,2023-11-03 01:32:11.805556
23,Quokka-lates Workout DVD,A delicious croissant shaped like a quokka,,A picture of a quokka-lates workout dvd,2023-11-02 04:16:52.638021,2023-11-02 06:48:46.870828
24,Quokka-puccino Coffee Blend,Unleash your creativity with this quokka coloring book,,A picture of a quokka-puccino coffee blend,2023-11-02 05:54:00.221124,2023-11-02 13:00:47.904889
